user_id,user_journey
150418,Resources center-Other-Sign up-Homepage-Pricing-Career track certificate-Pricing-Course certificate-Resources center-Courses-Courses-Sign up-Courses-Sign up-Log in-Log in-Homepage-Courses-Sign up-Log in-Homepage-Sign up-Log in-Other-Log in-Log in-Homepage-Courses-Log in-Log in-Homepage-Career tracks-Courses-Sign up-Log in-Checkout-Log in-Log in-Sign up-Coupon-Coupon-Coupon-Checkout-Log in-Sign up-Other-Courses-Coupon-Other-Courses-Coupon-Coupon-Log in-Coupon
151003,Homepage-Pricing-Pricing-Career track certificate-Homepage-Pricing-Homepage-Pricing-Checkout-Homepage-Log in
152002,Resources center-Log in-Resources center-Other-Resources center-Resources center-Sign up-Resources center-Other-Resources center-Other-Resources center-Other-Other-Log in-Resources center-Other-Resources center-Checkout
152882,Career tracks-Courses-Sign up-Log in-Homepage-Pricing-Checkout-Pricing-Checkout-Coupon-Coupon
153570,Sign up-Coupon
156771,Coupon-Coupon
156880,Courses-Pricing-Homepage-Career tracks-Courses-Homepage-Log in-Other-Resources center-Log in-Other-Log in-Log in-Homepage-Sign up-Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Other-Pricing-Log in-Checkout-Log in-Other-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Checkout-Checkout-Other-Checkout-Checkout-Checkout-Checkout
157143,Homepage-Upcoming courses-Log in-Sign up-Upcoming courses-Pricing-Checkout-Pricing-Log in-Coupon-Homepage-Career tracks-Courses-Courses-Log in-Log in-Courses-Log in-Courses-Upcoming courses-Resources center-Career track certificate-Career tracks-Career track certificate-Pricing-Checkout-Pricing-Courses-Log in-Pricing-Other-Pricing-Other-Pricing-Resources center-Other-Log in-Pricing-Checkout-Log in-Pricing-Checkout-Pricing-Checkout-Pricing-Log in-Log in-Other-Log in-Log in-Homepage-Pricing-Pricing-Checkout-Pricing-Checkout-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Log in-Other-Pricing-Log in-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
158113,Log in-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
160910,Homepage-Course certificate-Courses-Resources center-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Log in-Courses-Sign up-Homepage-Log in-Coupon-Coupon
161329,Homepage-Resources center-Homepage-Other-Pricing-Sign up-Pricing-Courses-Career track certificate-Career tracks-Sign up-Career tracks-Sign up-Career tracks-Pricing-Log in-Homepage-Courses-Homepage-Log in-Checkout-Checkout
161523,Homepage-Pricing-Sign up-Checkout
161548,Other-Courses-Sign up-Log in-Coupon
162545,Checkout-Courses-Career track certificate-Career tracks-Career tracks-Homepage-Career track certificate-Career tracks-Course certificate-Courses-Courses-Log in-Courses-Log in-Courses-Log in-Courses-Log in-Checkout
171697,Coupon
172645,Sign up-Pricing-Checkout-Homepage-Sign up-Checkout-Coupon-Checkout-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
182313,Resources center-Log in-Resources center-Log in-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Resources center-Log in-Log in-Coupon
185224,Log in-Log in-Homepage-Log in-Homepage-Log in-Checkout
185236,Homepage-Course certificate-Courses-Courses-Log in-Log in-Log in-Sign up-Courses-Sign up-Log in-Checkout
185890,Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Log in-Log in-Homepage-Log in-Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Coupon-Log in-Resources center-Other-Coupon-Log in-Pricing-Career track certificate-Career tracks-Sign up-Log in-Coupon-Log in-Coupon
188451,Checkout-Homepage-Log in-Checkout
191962,Log in-Homepage-Log in-Homepage-About us-Other-Other-Other
195227,Log in-Log in-Resources center-Other-Resources center-Other-Sign up-Blog-Other-Resources center-Other-Coupon-Coupon-Checkout-Coupon-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Career tracks-Sign up-Career tracks-Coupon
202020,Homepage-Log in-Homepage-Log in-Log in-Homepage-Log in-Log in-Homepage-Log in-Log in-Log in-Other-Log in-Homepage-Log in-Checkout-Coupon
203365,Homepage-Career track certificate-Sign up-Homepage-Courses-Upcoming courses-Courses-Log in-Homepage-Sign up-Log in-Log in-Log in-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Log in-Log in-Log in-Homepage-Courses-Log in-Other-Coupon-Homepage-Pricing-Homepage-Career track certificate-Log in-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Checkout-Coupon-Coupon-Coupon
204731,Other-Log in
209680,Homepage-Log in-Sign up-Log in-Other-Log in-Homepage-Log in-Other-Log in-Log in-Log in-Log in-Checkout-Checkout-Checkout-Other-Log in-Other-Resources center-Other-Resources center-Other-Log in-Other-Log in-Checkout-Checkout
212532,Coupon-Homepage-Log in-Other-Coupon
217381,Coupon
219706,Other-Homepage-Pricing-Homepage-Sign up-Homepage-Career tracks-Pricing-Checkout-Checkout-Pricing-Checkout-Pricing-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
220511,Pricing-Log in-Homepage-Log in-Log in-Coupon-Checkout
220744,Coupon-Coupon-Coupon
222389,Other-Career track certificate-Course certificate-Sign up-Log in-Homepage-Pricing-Checkout-Checkout-Coupon-Coupon-Log in-Checkout-Checkout-Homepage-Career track certificate-Career tracks-Homepage-Homepage-Career track certificate-Homepage-Career tracks-Homepage-Other-Pricing-Checkout-Homepage-Checkout-Pricing-Checkout-Homepage-Pricing-Checkout-Pricing-Checkout-Other-Pricing-Pricing-Checkout-Homepage-Log in-Checkout-Checkout
223121,Homepage-Pricing-Homepage-Other-Homepage-Pricing-Pricing-Career tracks-Pricing-Pricing-Sign up-Sign up-Log in-Log in-Log in-Log in-Coupon
223597,Other-Log in-Homepage-Sign up-Homepage-Log in-Pricing-Log in-Homepage-Log in-Log in-Coupon
223721,Log in-Log in-Homepage-Log in-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Pricing-Checkout-Log in-Checkout
223777,Log in-Homepage-Log in-Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Log in-Checkout-Checkout-Checkout
223883,Other-Log in-Log in-Homepage-Log in-Checkout-Homepage-Log in-Log in-Checkout-Log in-Log in-Log in-Log in-Other-Course certificate-Career track certificate-Checkout-Log in-Log in-Homepage-Log in-Log in-Other-Other-Homepage-Log in-Checkout
226950,Log in-Other-Homepage-Log in-Coupon
